транскрипция;орфография;часть речи;английский перевод;русский перевод
NOM.PL: ?'ak'ne, ?'ak'ultune;NOM.PL: чIакIне, чIакIултуне;;;
??i??a;чIичIа;n;bug;жук
NOM.PL: ??i??ne;NOM.PL: чIичIне;;;
duz;дуз;n;forest;лес
NOM.PL: duzunt, duzume;NOM.PL: дузунт, дузуме;;;
anci;анци;n;cumins;тмин
NOM.PL: anci;NOM.PL: анци;;;
?a?nk'a;гIянкIа;n;skin, rind, shell, peel;кожа, кора, скорлупа, кожура
NOM.PL: ?a?nk'be;NOM.PL: гIянкIбе;;;
?a?r?a?;гIяргIя;n;weed;сорняк
NOM.PL: ?a?r?nube (?ar?-nube);NOM.PL: гIяргIнубе (гIаргI-нубе);;;
gingi;гинги;n;pigeon pea;мелкий горох
NOM.PL: gingnube;NOM.PL: гингнубе;;;
guder;гудер;n;stub for chopping;пень для рубки дров
NOM.PL: gudert;NOM.PL: гудерт;;;
gurc'u;гурцIу;n;berry;ягоды
gur?i qara;гуржи хъара;n;bean;фасоль
NOM.PL: gur?i qarube, qara;NOM.PL: гуржи хъарубе, хъара;;;
?aq'ur;хIакъур;n;burdock, plant with big leaves;лопух, растение с крупными листьями
NOM.PL: ?aq'urt;NOM.PL: хIакъурт;;;
inc;инц;n;apple;яблоко
NOM.PL: incbe;NOM.PL: инцбе;;;
irc'ala;ирцIала;n;weed;сорняк в поле
NOM.PL: irc'alt;NOM.PL: ирцIалт;;;
k'ap'i;кIапIи;n;leaf;лист
NOM.PL: k'ap're;NOM.PL: кIапIре;;;
kartu?ka, kaltu?ka;картушка, калтушка;n;potato;картошка
NOM.PL: kartu?kune, kartu?ka, kaltu?kune;NOM.PL: картушкуне, картушка, калтушкуне;;;
k?araga;кварага;n;apricot;абрикос
NOM.PL: k?aragume, k?araga;NOM.PL: кварагуме, кварага;;;
q'?ar?;къварч;n;peach;персик
NOM.PL: q'ur?be;NOM.PL: къурчбе;;;
k?ar?a, k?ab?a;кварча, квабча;n;bush;куст (травы)
NOM.PL: k?ar?ne;NOM.PL: кварчне;;;
ma?q'?;мякъв;n;root;корень
NOM.PL: ma?q'?e;NOM.PL: мякъве;;;
mirqi;мирхъи;n;bee;пчела (шмель)
NOM.PL: mirqe, mirqne;NOM.PL: мирхъе, мирхъне;;;
mura;мура;n;hay;сено
NOM.PL: murube;NOM.PL: мурубе;;;
nabadur;набадур;n;carrot;морковь
NOM.PL: nabadurt, nabadure;NOM.PL: набадурт, набадуре;;;
ner?;неръ;n;louse;вошь
NOM.PL: nur?be;NOM.PL: нуръбе;;;
niz;низ;n;nettle;крапива
NOM.PL: nizbe;NOM.PL: низбе;;;
q'a?a;къахIа;n;turnip;репа
NOM.PL: q'a?ne;NOM.PL: къахIне;;;
q'a?j?i;къяйъи;n;branch;ветка
NOM.PL: q'a?j?ube;NOM.PL: къяйъубе;;;
q'ar;къар;n;grass;трава
NOM.PL: q'arane;NOM.PL: къаране;;;
q'i;къи;n;nit;гнида
NOM.PL: q'ime;NOM.PL: къиме;;;
q'um?;къумъ;n;stone;косточка (плода)
NOM.PL: q'um?e;NOM.PL: къумъе;;;
k'urk'ula;кIуркIула;n;alycha;алыча
NOM.PL: k'urk'ult;NOM.PL: кIуркIулт;;;
qa?r?;хъяръ;n;pear;груша
NOM.PL: qo?r?be, qa?r?be;NOM.PL: хъoIръбе, хъяръбе;;;
qara;хъара;n;pea;горох
NOM.PL: qarube;NOM.PL: хъарубе;;;
qaraq;хъарахъ;n;thorn, burr;колючка (шип растения), колючее растение
NOM.PL: qarqme;NOM.PL: хъархъме;;;
qinc';хъинцI;n;tick;клещ
NOM.PL: qinc'be;NOM.PL: хъинцIбе;;;
??et';гъветI;n;tree;дерево
NOM.PL: ?ut'be;NOM.PL: гъутIбе;;;
?a?ban;шахIбан;n;forest nut;лесной орех
NOM.PL: ?a?bant;NOM.PL: шахIбант;;;
?ini?;шиниш;n;paste;клей (из муки и воды)
?umeri;шумери;n;mint;мята
NOM.PL: ?umeri;NOM.PL: шумери;;;
sida;сида;n;gum;смола, жвачка
NOM.PL: sidne;NOM.PL: сидне;;;
t'ut'i;тIутIи;n;grape;виноград
NOM.PL: t'ut'urbe;NOM.PL: тIутIурбе;;;
t'uka;тIука;n;wasp;оса
NOM.PL: t'ukne;NOM.PL: тIукне;;;
urculi;урцули;n;log;полено, дрова
NOM.PL: urcult;NOM.PL: урцулт;;;
wawa;вава;n;flower;цветок
;NOM.PL: вавне;;;
?iwh;хивгь;n;nut;орех
NOM.PL: ?iwhe;NOM.PL: хивгье;;;
abdija;абдийа;n;butterfly;бабочка
NOM.PL: abdijart, abdijartune;NOM.PL: абдийарт, абдийартуне;;;
c'erc';цIерцI;n;grasshopper;кузнечик
NOM.PL: c'urc'be, (c'umc're);NOM.PL: цIурцIбе, (цIумцIре);;;
?umerz;хIумерз;n;gadfly;овод
NOM.PL: ?umurzune;NOM.PL: хIумурзуне;;;
imi?ula, imi??ala;имиъула, имиъвала;n;ant;муравей
NOM.PL: imi?ule;NOM.PL: имиъуле;;;
